TOA5,CR1000_soil,CR1000,43125,CR1000.Std.22,CPU:Soil_sensors.CR1,4927,Soil,,,,,,,,
TIMESTAMP,RECORD,VW_Avg,VW_2_Avg,VW_3_Avg,Temp_C_Avg,Temp_C_2_Avg,Temp_C_3_Avg,Temp_C_4_Avg,PTemp_C_Avg,shf_Avg,shf_2_Avg,Batt_Volt_Avg,PA_uS_Avg,PA_uS_2_Avg,PA_uS_3_Avg
TS,RN,,,,Deg C,Deg C,Deg C,Deg C,Deg C,W/m^2,W/m^2,Volts,uSec,uSec,uSec
,,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
2012-02-27 15:30:00,0,-0.002,-0.001,-0.003,25.8,25.95,25.65,26.06,26.13,24.48874,25.19082,13.02,15.1,15.13,14.99
2012-02-27 16:00:00,1,-0.002,-0.002,-0.003,25.62,25.54,25.39,25.91,26.47,17.27148,19.05349,13.04,15.08,15.08,14.99
2012-02-27 16:30:00,2,0.014,0,0.014,25.67,25.64,25.47,26.25,26.13,-0.3234586,0.5994549,13.21,16.13,15.23,16.14
2012-03-02 12:30:00,3,0.115,0.612,0.896,22.25,17.09,16.36,16.79,27.36,123.4689,71.64558,12.48,21.23,35.96,41.85
2012-03-02 13:00:00,4,0.117,0.615,0.896,23.45,18.26,16.57,16.85,26.08,120.5823,68.69196,12.46,21.29,36.01,41.85
2012-03-02 13:30:00,5,0.118,0.618,0.896,24.61,19.14,16.65,16.9,25.84,120.1089,66.71262,12.46,21.34,36.08,41.85
2012-03-02 14:00:00,6,0.119,0.621,0.896,25.74,19.95,16.83,16.95,27.02,123.4981,70.96608,12.46,21.38,36.15,41.86
2012-03-02 14:30:00,7,0.12,0.624,0.897,26.22,20.49,17.28,17.13,25.93,106.2799,63.83652,12.45,21.42,36.22,41.86
2012-03-02 15:00:00,8,0.121,0.627,0.897,26.6,21.41,17.22,17.08,25.61,96.98267,56.06366,12.45,21.45,36.3,41.87
2012-03-02 15:30:00,9,0.121,0.631,0.897,26.98,21.96,17.55,17.18,27.89,82.80067,49.858,12.44,21.47,36.38,41.87
2012-03-02 16:00:00,10,0.121,0.635,0.898,26.77,22.37,17.92,17.37,28.2,54.83213,37.37196,12.45,21.48,36.46,41.88
2012-03-02 16:30:00,11,0.121,0.638,0.898,26.23,22.65,18.23,17.53,27.74,35.53776,24.55609,12.45,21.48,36.54,41.89
2012-03-02 17:00:00,12,0.121,0.641,0.899,25.39,22.74,18.56,17.73,26.61,13.00354,11.151,12.45,21.47,36.61,41.9
2012-03-02 17:30:00,13,0.12,0.644,0.899,24.18,22.64,18.87,17.92,24.89,-21.12092,-5.989982,12.45,21.44,36.68,41.91
2012-03-02 18:00:00,14,0.119,0.647,0.9,22.49,22.2,19.17,18.1,23.48,-56.61672,-24.2544,12.46,21.4,36.74,41.93
2012-03-02 18:30:00,15,0.118,0.65,0.901,20.36,21.33,19.52,18.4,19.89,-78.07317,-40.99002,12.45,21.36,36.8,41.94
2012-03-02 19:00:00,16,0.117,0.649,0.9,18.44,20.55,19.62,18.53,16.72,-85.38554,-49.85094,12.47,21.31,36.77,41.93
2012-03-02 19:30:00,17,0.116,0.649,0.901,16.78,19.74,19.67,18.69,14.77,-84.67718,-55.7036,12.48,21.26,36.79,41.94
2012-03-02 20:00:00,18,0.115,0.65,0.902,15.48,18.95,19.61,18.79,13.66,-83.29802,-57.12175,12.49,21.22,36.8,41.96
2012-03-02 20:30:00,19,0.114,0.65,0.902,14.39,18.26,19.52,18.9,12.41,-82.49767,-58.06208,12.5,21.18,36.8,41.97
2012-03-02 21:00:00,20,0.113,0.649,0.903,13.43,17.58,19.38,18.96,11.23,-80.24802,-58.13541,12.51,21.14,36.79,41.98
2012-03-02 21:30:00,21,0.113,0.649,0.903,12.68,16.99,19.19,18.99,10.63,-76.51661,-55.75112,12.5,21.11,36.77,41.99
2012-03-02 22:00:00,22,0.112,0.647,0.904,12.06,16.44,18.98,19,10.17,-73.99231,-54.05608,12.51,21.09,36.74,41.99
2012-03-02 22:30:00,23,0.112,0.646,0.904,11.47,15.93,18.77,18.98,9.68,-78.24797,-54.98944,12.51,21.06,36.71,42
2012-03-02 23:00:00,24,0.111,0.644,0.904,10.79,15.45,18.55,18.97,8.68,-78.71201,-56.53272,12.52,21.04,36.68,42
2012-03-02 23:30:00,25,0.11,0.643,0.904,10.19,14.98,18.33,18.93,7.94,-76.26727,-55.96362,12.52,21.01,36.64,42
2012-03-03 00:00:00,26,0.11,0.641,0.904,9.69,14.55,18.09,18.87,7.429,-76.59747,-55.52727,12.53,20.99,36.6,42
2012-03-03 00:30:00,27,0.109,0.639,0.904,9.21,14.12,17.85,18.8,7.131,-70.76579,-52.83345,12.51,20.97,36.55,42
2012-03-03 01:00:00,28,0.109,0.637,0.904,9.02,13.74,17.57,18.65,7.914,-63.37591,-48.7894,12.53,20.96,36.51,41.99
2012-03-03 01:30:00,29,0.109,0.635,0.903,9.15,13.45,17.32,18.52,9.11,-58.31249,-42.21836,12.52,20.94,36.46,41.99
2012-03-03 02:00:00,30,0.109,0.632,0.903,9.05,13.25,17.1,18.43,9.03,-67.40703,-43.3041,12.52,20.93,36.41,41.98
2012-03-03 02:30:00,31,0.108,0.63,0.903,8.53,12.97,16.9,18.35,7.907,-67.50285,-47.47058,12.52,20.92,36.37,41.97
2012-03-03 03:00:00,32,0.108,0.628,0.902,8.24,12.71,16.68,18.23,7.764,-68.35803,-46.21118,12.52,20.91,36.32,41.97
2012-03-03 03:30:00,33,0.108,0.626,0.902,7.888,12.42,16.49,18.13,7.305,-65.37257,-45.29071,12.51,20.89,36.28,41.96
2012-03-03 04:00:00,34,0.107,0.624,0.901,7.739,12.15,16.26,17.99,7.362,-60.8938,-43.41267,12.52,20.88,36.23,41.95
2012-03-03 04:30:00,35,0.107,0.623,0.901,7.793,11.93,16.04,17.84,7.731,-56.01218,-38.95593,12.52,20.87,36.19,41.94
2012-03-03 05:00:00,36,0.107,0.621,0.9,7.715,11.77,15.87,17.73,7.554,-62.97868,-39.65754,12.52,20.86,36.15,41.93
2012-03-03 05:30:00,37,0.107,0.619,0.899,7.232,11.58,15.7,17.63,6.515,-68.77998,-45.40807,12.52,20.85,36.11,41.92
2012-03-03 06:00:00,38,0.106,0.617,0.899,6.728,11.33,15.51,17.52,5.325,-70.48248,-48.22776,12.52,20.83,36.06,41.9
2012-03-03 06:30:00,39,0.106,0.616,0.899,6.276,11.04,15.35,17.41,4.53,-70.46158,-48.72639,12.51,20.82,36.03,41.9
2012-03-03 07:00:00,40,0.106,0.615,0.899,5.847,10.72,15.15,17.29,3.764,-69.52896,-49.60151,12.53,20.81,36.03,41.9
2012-03-03 07:30:00,41,0.105,0.615,0.899,5.586,10.43,14.96,17.16,3.638,-62.58144,-47.77825,12.54,20.79,36.03,41.91
2012-03-03 08:00:00,42,0.105,0.613,0.898,5.795,10.07,14.84,17.06,6.712,-33.17221,-38.32169,12.53,20.79,35.98,41.89
2012-03-03 08:30:00,43,0.105,0.611,0.898,6.651,9.91,14.68,16.89,13.05,3.149446,-24.35418,12.54,20.79,35.93,41.88
2012-03-03 09:00:00,44,0.106,0.609,0.897,7.919,9.69,14.6,16.78,17.48,24.28901,-1.654509,12.52,20.81,35.88,41.86
2012-03-03 09:30:00,45,0.107,0.607,0.896,9.63,10.12,14.4,16.61,19.73,90.67812,30.14239,12.49,20.85,35.84,41.85
2012-03-03 10:00:00,46,0.108,0.605,0.895,12.12,10.39,14.34,16.47,22.56,131.9586,44.1752,12.49,20.91,35.8,41.83
2012-03-03 10:30:00,47,0.109,0.604,0.894,15.07,11.1,14.38,16.41,24.59,158.5757,79.30117,12.48,20.97,35.77,41.82
2012-03-03 11:00:00,48,0.111,0.603,0.893,18.69,12.5,14.25,16.21,25.71,178.1,105.3999,12.48,21.06,35.75,41.8
2012-03-03 11:30:00,49,0.114,0.603,0.893,21.83,14.09,14.28,16.06,26.19,196.0139,119.3881,12.47,21.15,35.76,41.78
2012-03-03 12:00:00,50,0.116,0.605,0.892,24.67,16.05,14.21,15.83,25.61,203.7944,128.7533,12.47,21.24,35.78,41.77
2012-03-03 12:30:00,51,0.118,0.607,0.891,27.11,17.86,14.38,15.71,27.03,207.4612,134.4006,12.45,21.32,35.83,41.76
2012-03-03 13:00:00,52,0.119,0.61,0.891,29.06,19.32,14.76,15.66,29.36,199.6336,131.3937,12.46,21.4,35.9,41.75
2012-03-03 13:30:00,53,0.121,0.613,0.891,30.59,20.73,15.2,15.66,31.52,186.2558,124.8954,12.45,21.46,35.98,41.75
2012-03-03 14:00:00,54,0.122,0.618,0.891,31.51,21.88,15.78,15.82,32.22,177.3594,115.9135,12.44,21.51,36.08,41.75
2012-03-03 14:30:00,55,0.123,0.622,0.891,32.11,22.75,16.46,16.03,30.96,164.218,109.5832,12.44,21.56,36.19,41.75
2012-03-03 15:00:00,56,0.124,0.627,0.891,32.61,23.97,16.68,16.06,30.32,137.9778,97.42474,12.43,21.59,36.3,41.76
2012-03-03 15:30:00,57,0.124,0.632,0.892,32.35,24.67,17.27,16.24,32.06,101.2757,71.98592,12.42,21.61,36.41,41.77
2012-03-03 16:00:00,58,0.124,0.638,0.893,31.64,25.02,17.89,16.53,31.82,78.30454,59.19444,12.43,21.61,36.53,41.79
2012-03-03 16:30:00,59,0.124,0.642,0.894,30.62,25.23,18.45,16.82,30.71,45.38285,39.37227,12.43,21.6,36.64,41.81
2012-03-03 17:00:00,60,0.124,0.647,0.895,29.3,25.28,18.93,17.11,29.43,17.01964,19.5968,12.44,21.58,36.74,41.83
2012-03-03 17:30:00,61,0.123,0.651,0.896,27.63,25.02,19.42,17.46,27.34,-11.82091,1.384368,12.44,21.54,36.83,41.85
2012-03-03 18:00:00,62,0.122,0.655,0.897,25.66,24.45,19.8,17.73,25.48,-51.24815,-18.24843,12.44,21.49,36.91,41.88
2012-03-03 18:30:00,63,0.121,0.658,0.899,23.39,23.53,20.24,18.12,21.87,-67.69249,-35.00625,12.44,21.44,36.97,41.9
2012-03-03 19:00:00,64,0.119,0.657,0.898,21.54,22.75,20.34,18.39,19.42,-71.92007,-41.17308,12.46,21.39,36.96,41.89
2012-03-03 19:30:00,65,0.118,0.658,0.899,19.91,21.94,20.42,18.53,17.4,-77.11394,-47.34418,12.47,21.34,36.99,41.91
2012-03-03 20:00:00,66,0.117,0.659,0.9,18.47,21.13,20.45,18.75,15.4,-77.76134,-51.06452,12.48,21.3,37,41.94
2012-03-03 20:30:00,67,0.116,0.659,0.901,17.28,20.35,20.4,18.92,14.08,-75.45015,-51.81026,12.49,21.26,37.01,41.95
2012-03-03 21:00:00,68,0.115,0.659,0.902,16.27,19.64,20.29,19.03,13.24,-73.031,-51.65105,12.5,21.22,37,41.97
2012-03-03 21:30:00,69,0.114,0.658,0.903,15.45,19.03,20.14,19.13,12.38,-69.93,-50.21867,12.49,21.19,36.99,41.98
2012-03-03 22:00:00,70,0.114,0.657,0.904,14.76,18.44,19.96,19.19,11.83,-69.66927,-49.31129,12.51,21.16,36.97,42
2012-03-03 22:30:00,71,0.113,0.656,0.904,14.07,17.89,19.77,19.22,11.24,-70.31765,-50.2938,12.51,21.13,36.94,42.01
2012-03-03 23:00:00,72,0.113,0.655,0.905,13.47,17.43,19.55,19.22,10.67,-68.8231,-49.93621,12.51,21.11,36.91,42.01
2012-03-03 23:30:00,73,0.112,0.653,0.905,12.93,16.96,19.33,19.21,10.1,-68.46835,-49.1713,12.52,21.08,36.87,42.02
2012-03-04 00:00:00,74,0.112,0.652,0.905,12.42,16.49,19.12,19.18,9.65,-66.81845,-48.44876,12.52,21.06,36.84,42.02
2012-03-04 00:30:00,75,0.111,0.65,0.905,11.96,16.1,18.9,19.14,9.27,-66.1162,-47.06117,12.5,21.04,36.8,42.02
2012-03-04 01:00:00,76,0.111,0.648,0.905,11.5,15.7,18.68,19.09,8.93,-66.91267,-47.86425,12.51,21.02,36.76,42.02
2012-03-04 01:30:00,77,0.11,0.646,0.905,11.13,15.35,18.45,19.02,8.56,-64.18101,-46.58449,12.51,21,36.72,42.02
2012-03-04 02:00:00,78,0.11,0.644,0.905,10.81,15,18.21,18.9,8.4,-63.31291,-45.24703,12.49,20.99,36.67,42.02
2012-03-04 02:30:00,79,0.109,0.642,0.905,10.45,14.67,18,18.83,8.08,-64.70078,-45.90096,12.5,20.97,36.63,42.01
2012-03-04 03:00:00,80,0.109,0.64,0.904,10.09,14.38,17.78,18.74,7.649,-65.67712,-46.07639,12.5,20.95,36.59,42.01
2012-03-04 03:30:00,81,0.109,0.638,0.904,9.71,14.05,17.58,18.66,7.226,-62.99613,-45.08447,12.49,20.94,36.54,42
2012-03-04 04:00:00,82,0.108,0.636,0.904,9.38,13.76,17.35,18.53,6.904,-64.41194,-45.11433,12.51,20.92,36.5,42
2012-03-04 04:30:00,83,0.108,0.634,0.903,9.08,13.46,17.13,18.43,6.615,-63.89339,-44.93105,12.5,20.91,36.46,41.99
2012-03-04 05:00:00,84,0.108,0.632,0.903,8.79,13.18,16.95,18.31,6.297,-64.98618,-45.29462,12.5,20.89,36.41,41.98
2012-03-04 05:30:00,85,0.107,0.631,0.902,8.5,12.92,16.73,18.2,6.171,-61.87313,-44.48211,12.5,20.88,36.37,41.97
2012-03-04 06:00:00,86,0.107,0.629,0.902,8.35,12.67,16.52,18.07,6.316,-60.88697,-41.99628,12.51,20.87,36.33,41.96
2012-03-04 06:30:00,87,0.107,0.627,0.902,8.11,12.45,16.32,17.95,6.11,-62.13069,-42.32679,12.49,20.86,36.29,41.96
2012-03-04 07:00:00,88,0.107,0.627,0.902,7.81,12.2,16.14,17.85,5.546,-62.89433,-43.67291,12.51,20.85,36.29,41.96
2012-03-04 07:30:00,89,0.106,0.627,0.902,7.599,11.94,15.95,17.73,5.455,-55.36434,-41.99552,12.5,20.84,36.28,41.97
2012-03-04 08:00:00,90,0.106,0.625,0.901,7.924,11.63,15.81,17.61,9,-24.06669,-31.02304,12.53,20.83,36.24,41.95
2012-03-04 08:30:00,91,0.106,0.623,0.901,8.88,11.52,15.66,17.45,15.25,12.22546,-16.63072,12.52,20.84,36.19,41.94
2012-03-04 09:00:00,92,0.107,0.62,0.9,10.17,11.34,15.57,17.34,20.19,32.60381,5.466953,12.5,20.86,36.14,41.93
2012-03-04 09:30:00,93,0.108,0.619,0.899,11.69,11.79,15.37,17.15,23.07,110.0583,37.79705,12.47,20.9,36.1,41.91
2012-03-04 10:00:00,94,0.109,0.617,0.899,14.6,12.16,15.27,16.97,26.29,152.1866,57.07794,12.47,20.97,36.07,41.9
2012-03-04 10:30:00,95,0.111,0.616,0.898,17.61,13.02,15.3,16.89,27.8,174.4501,90.20979,12.45,21.03,36.04,41.88
2012-03-04 11:00:00,96,0.113,0.615,0.897,21.36,14.38,15.28,16.8,29.58,199.3688,117.9305,12.45,21.12,36.03,41.87
2012-03-04 11:30:00,97,0.115,0.616,0.896,24.71,16.05,15.3,16.61,30.89,216.3219,133.8899,12.44,21.21,36.04,41.86
2012-03-04 12:00:00,98,0.117,0.617,0.896,27.68,18.05,15.28,16.4,30.48,222.6107,142.8866,12.43,21.3,36.07,41.85
2012-03-04 12:30:00,99,0.119,0.62,0.895,30.24,19.85,15.49,16.26,32.2,232.1356,150.1966,12.41,21.39,36.12,41.84
2012-03-04 13:00:00,100,0.121,0.623,0.895,32.46,21.45,15.87,16.29,34.28,230.712,149.3813,12.42,21.46,36.19,41.83
2012-03-04 13:30:00,101,0.123,0.627,0.895,34.2,23.01,16.3,16.3,36.17,219.6332,145.9077,12.42,21.53,36.28,41.83
2012-03-04 14:00:00,102,0.124,0.631,0.895,35.39,24.3,16.86,16.34,37.67,201.8766,136.5487,12.41,21.59,36.39,41.83
2012-03-04 14:30:00,103,0.125,0.636,0.895,35.89,25.22,17.69,16.66,36.31,186.4525,124.8779,12.41,21.64,36.5,41.84
2012-03-04 15:00:00,104,0.126,0.642,0.896,36.43,26.52,18.01,16.77,35.29,166.6301,114.9754,12.41,21.67,36.62,41.85
2012-03-04 15:30:00,105,0.126,0.647,0.897,36.47,27.31,18.66,17.01,36.67,124.5893,93.66419,12.4,21.69,36.74,41.87
2012-03-04 16:00:00,106,0.127,0.652,0.898,35.89,27.82,19.23,17.22,37.2,99.14935,75.84772,12.41,21.7,36.86,41.88
2012-03-04 16:30:00,107,0.126,0.658,0.899,34.9,28.15,19.81,17.54,36.74,65.9436,54.84985,12.41,21.69,36.97,41.9
2012-03-04 17:00:00,108,0.126,0.662,0.9,33.55,28.16,20.36,17.85,35.59,33.80467,34.33131,12.41,21.67,37.08,41.92
2012-03-04 17:30:00,109,0.125,0.667,0.901,31.76,27.9,20.94,18.26,32.94,-1.878516,11.47883,12.41,21.63,37.17,41.95
2012-03-04 18:00:00,110,0.124,0.671,0.903,29.63,27.37,21.39,18.57,31.16,-40.72588,-9.699322,12.42,21.58,37.26,41.97
2012-03-04 18:30:00,111,0.123,0.674,0.904,27.27,26.47,21.89,19.02,27.55,-61.89395,-27.70321,12.41,21.53,37.33,42
2012-03-04 19:00:00,112,0.121,0.674,0.904,25.22,25.54,22.14,19.34,24.43,-66.03668,-34.98814,12.43,21.47,37.32,42
2012-03-04 19:30:00,113,0.12,0.675,0.905,23.49,24.73,22.22,19.64,21.99,-72.86933,-42.50708,12.44,21.42,37.36,42.03
2012-03-04 20:00:00,114,0.119,0.676,0.906,21.94,23.9,22.21,19.82,19.65,-74.39794,-46.77337,12.45,21.37,37.38,42.05
2012-03-04 20:30:00,115,0.118,0.677,0.908,20.62,23.08,22.19,19.97,17.85,-72.86123,-48.66703,12.46,21.33,37.39,42.07
2012-03-04 21:00:00,116,0.117,0.677,0.909,19.53,22.34,22.09,20.13,16.6,-71.08674,-48.92591,12.47,21.29,37.39,42.09
2012-03-04 21:30:00,117,0.116,0.676,0.909,18.62,21.65,21.95,20.24,15.72,-67.98857,-47.18522,12.46,21.26,37.38,42.1
2012-03-04 22:00:00,118,0.115,0.675,0.91,17.82,21.02,21.78,20.32,15.03,-67.78359,-47.42804,12.48,21.22,37.36,42.12
2012-03-04 22:30:00,119,0.115,0.674,0.911,17.09,20.45,21.6,20.38,14.34,-68.05715,-48.09639,12.49,21.19,37.34,42.13
2012-03-04 23:00:00,120,0.114,0.673,0.911,16.41,19.93,21.39,20.41,13.72,-67.72394,-48.02357,12.5,21.17,37.31,42.14
2012-03-04 23:30:00,121,0.113,0.671,0.912,15.78,19.41,21.16,20.4,13.06,-66.63947,-47.59964,12.5,21.14,37.27,42.15
2012-03-05 00:00:00,122,0.113,0.67,0.912,15.26,18.94,20.95,20.39,12.56,-64.96966,-46.49689,12.51,21.12,37.24,42.15
2012-03-05 00:30:00,123,0.112,0.668,0.912,14.77,18.51,20.73,20.37,12.13,-64.03187,-44.79428,12.49,21.1,37.2,42.16
2012-03-05 01:00:00,124,0.112,0.666,0.912,14.32,18.11,20.49,20.32,11.81,-63.60513,-44.80465,12.51,21.08,37.16,42.16
2012-03-05 01:30:00,125,0.111,0.664,0.912,13.86,17.7,20.26,20.24,11.36,-65.93258,-45.65361,12.51,21.06,37.12,42.16
2012-03-05 02:00:00,126,0.111,0.663,0.912,13.4,17.35,20.03,20.18,10.73,-65.57826,-46.30818,12.51,21.04,37.08,42.16
2012-03-05 02:30:00,127,0.111,0.661,0.912,12.96,16.98,19.8,20.11,10.16,-64.33028,-45.84206,12.51,21.02,37.04,42.15
2012-03-05 03:00:00,128,0.11,0.659,0.912,12.55,16.61,19.58,20.01,9.8,-63.94171,-45.42857,12.52,21,37,42.15
2012-03-05 03:30:00,129,0.11,0.657,0.912,12.23,16.29,19.34,19.91,9.68,-63.70436,-43.44779,12.5,20.99,36.95,42.15
2012-03-05 04:00:00,130,0.109,0.655,0.911,11.86,15.96,19.14,19.82,9.3,-63.8914,-44.20821,12.51,20.97,36.91,42.14
2012-03-05 04:30:00,131,0.109,0.653,0.911,11.49,15.65,18.91,19.71,8.85,-65.46941,-45.25113,12.52,20.95,36.87,42.13
2012-03-05 05:00:00,132,0.109,0.651,0.911,11.09,15.33,18.69,19.6,8.44,-64.88924,-45.59874,12.52,20.94,36.82,42.13
2012-03-05 05:30:00,133,0.108,0.649,0.91,10.77,15.02,18.49,19.49,8.25,-63.7682,-44.70003,12.52,20.92,36.78,42.12
2012-03-05 06:00:00,134,0.108,0.647,0.91,10.48,14.75,18.27,19.37,8.01,-63.99986,-44.28894,12.52,20.91,36.74,42.11
2012-03-05 06:30:00,135,0.108,0.645,0.91,10.2,14.47,18.06,19.26,7.668,-62.49092,-42.89482,12.51,20.9,36.7,42.11
2012-03-05 07:00:00,136,0.107,0.645,0.91,9.92,14.19,17.86,19.14,7.493,-61.81179,-42.99303,12.52,20.88,36.69,42.11
2012-03-05 07:30:00,137,0.107,0.645,0.91,9.76,13.91,17.65,19.02,7.585,-52.41378,-40.55156,12.52,20.87,36.69,42.12
2012-03-05 08:00:00,138,0.107,0.643,0.91,10.08,13.62,17.47,18.88,10.72,-26.86716,-30.65537,12.52,20.87,36.64,42.11
2012-03-05 08:30:00,139,0.107,0.641,0.909,10.94,13.51,17.29,18.72,16.41,11.96963,-16.10568,12.52,20.88,36.59,42.1
2012-03-05 09:00:00,140,0.108,0.638,0.908,12.4,13.41,17.13,18.6,21.63,53.35968,9.200418,12.5,20.9,36.55,42.08
2012-03-05 09:30:00,141,0.109,0.636,0.908,14.43,13.96,16.91,18.39,24.31,130.3504,48.19496,12.47,20.95,36.5,42.07
2012-03-05 10:00:00,142,0.111,0.635,0.907,17.8,14.64,16.77,18.18,28.21,155.1443,73.92535,12.47,21.02,36.47,42.06
2012-03-05 10:30:00,143,0.112,0.634,0.906,20.26,15.95,16.74,18.1,28.13,130.2727,79.47958,12.45,21.09,36.44,42.04
2012-03-05 11:00:00,144,0.114,0.634,0.905,22.67,17.14,16.72,17.98,28.28,148.8685,94.03043,12.45,21.15,36.44,42.03
2012-03-05 11:30:00,145,0.115,0.634,0.905,24.8,18.39,16.81,17.83,29.33,149.689,99.9795,12.45,21.21,36.45,42.02
2012-03-05 12:00:00,146,0.116,0.635,0.904,26.3,19.62,17.02,17.76,29.77,143.8175,95.68938,12.44,21.26,36.48,42.01
2012-03-05 12:30:00,147,0.117,0.637,0.904,27.33,20.73,17.3,17.76,29.67,121.6487,85.60915,12.43,21.31,36.53,42
2012-03-05 13:00:00,148,0.118,0.64,0.904,28.84,21.31,17.48,17.67,32.24,231.89,111.0746,12.43,21.34,36.58,42
2012-03-05 13:30:00,149,0.12,0.643,0.904,32.59,22.71,17.64,17.49,37.49,236.1558,149.3448,12.42,21.43,36.64,42
2012-03-05 14:00:00,150,0.122,0.646,0.904,33.92,24.31,18.19,17.64,37.77,132.5363,119.3342,12.41,21.49,36.71,42
2012-03-05 14:30:00,151,0.122,0.65,0.904,33.61,25.04,18.71,17.85,35.9,141.5889,96.63129,12.41,21.52,36.79,42
2012-03-05 15:00:00,152,0.123,0.654,0.904,33.69,25.83,19.19,18.01,34.92,106.2736,87.06153,12.41,21.54,36.89,42.01
2012-03-05 15:30:00,153,0.123,0.658,0.905,32.87,26.23,19.75,18.24,33.64,68.47312,59.62893,12.4,21.54,36.98,42.02
2012-03-05 16:00:00,154,0.123,0.662,0.906,32.18,26.45,20.23,18.46,32.9,56.24519,51.56693,12.42,21.54,37.07,42.03
2012-03-05 16:30:00,155,0.122,0.666,0.906,30.88,26.43,20.71,18.73,31.09,30.80417,30.62155,12.42,21.52,37.16,42.05
2012-03-05 17:00:00,156,0.122,0.669,0.907,29.94,26.3,21.08,18.96,30.15,27.97311,24.76528,12.42,21.5,37.23,42.06
2012-03-05 17:30:00,157,0.121,0.673,0.908,29.05,26.15,21.41,19.2,29.35,3.83544,14.33675,12.42,21.48,37.3,42.08
2012-03-05 18:00:00,158,0.121,0.675,0.909,27.71,25.86,21.71,19.47,27.94,-24.24551,-1.407987,12.43,21.45,37.36,42.1
2012-03-05 18:30:00,159,0.12,0.678,0.91,26.2,25.4,21.93,19.7,26.68,-47.29541,-15.82491,12.42,21.41,37.41,42.12
2012-03-05 19:00:00,160,0.119,0.677,0.91,24.42,24.74,22.15,19.97,24.01,-65.49133,-30.07787,12.42,21.36,37.39,42.11
2012-03-05 19:30:00,161,0.117,0.677,0.911,22.72,23.99,22.16,20.19,21.9,-65.39936,-39.16315,12.43,21.32,37.41,42.13
2012-03-05 20:00:00,162,0.117,0.678,0.912,21.43,23.29,22.15,20.3,20.05,-63.89138,-41.12003,12.43,21.28,37.42,42.14
2012-03-05 20:30:00,163,0.116,0.678,0.912,20.3,22.62,22.11,20.41,18.33,-67.33154,-43.58606,12.44,21.24,37.43,42.16
2012-03-05 21:00:00,164,0.115,0.678,0.913,19.25,21.97,22.02,20.52,16.97,-67.57557,-45.98277,12.45,21.2,37.42,42.17
2012-03-05 21:30:00,165,0.114,0.678,0.914,18.42,21.32,21.92,20.61,16.26,-57.21413,-41.81703,12.45,21.17,37.41,42.18
2012-03-05 22:00:00,166,0.114,0.677,0.914,17.91,20.78,21.75,20.65,16.02,-51.63649,-39.64091,12.46,21.15,37.39,42.19
2012-03-05 22:30:00,167,0.113,0.676,0.914,17.55,20.36,21.57,20.66,15.87,-54.67056,-37.36436,12.47,21.13,37.36,42.2
2012-03-05 23:00:00,168,0.113,0.674,0.915,16.99,19.99,21.37,20.67,15.41,-59.75934,-40.31327,12.47,21.11,37.33,42.21
2012-03-05 23:30:00,169,0.112,0.673,0.915,16.43,19.56,21.18,20.66,14.66,-55.4912,-40.61768,12.47,21.09,37.3,42.21
2012-03-06 00:00:00,170,0.112,0.671,0.915,16.14,19.16,20.99,20.63,14.4,-44.4166,-35.70961,12.48,21.07,37.27,42.21
2012-03-06 00:30:00,171,0.111,0.67,0.915,16.09,18.87,20.77,20.56,14.71,-40.31871,-28.64627,12.46,21.06,37.24,42.21
2012-03-06 01:00:00,172,0.111,0.668,0.915,15.97,18.64,20.57,20.49,15.17,-44.55258,-29.30535,12.47,21.05,37.2,42.21
2012-03-06 01:30:00,173,0.111,0.667,0.915,15.59,18.43,20.41,20.45,14.86,-58.19924,-34.22541,12.47,21.04,37.17,42.21
2012-03-06 02:00:00,174,0.11,0.665,0.915,14.88,18.12,20.27,20.43,13.71,-63.84489,-41.11672,12.48,21.02,37.14,42.21
2012-03-06 02:30:00,175,0.11,0.664,0.915,14.23,17.75,20.09,20.37,12.72,-64.76756,-43.39885,12.48,21,37.11,42.21
2012-03-06 03:00:00,176,0.11,0.662,0.915,13.77,17.4,19.9,20.26,13.17,-61.13766,-42.26963,12.49,20.98,37.07,42.21
2012-03-06 03:30:00,177,0.109,0.661,0.915,13.32,17.05,19.72,20.19,12.67,-62.25784,-41.73854,12.47,20.96,37.04,42.2
2012-03-06 04:00:00,178,0.109,0.659,0.914,12.88,16.7,19.55,20.13,11.63,-62.70898,-42.72464,12.49,20.94,37,42.2
2012-03-06 04:30:00,179,0.108,0.657,0.914,12.5,16.37,19.35,20.04,10.93,-61.95545,-43.03885,12.49,20.93,36.96,42.19
2012-03-06 05:00:00,180,0.108,0.655,0.914,12.15,16.06,19.16,19.96,10.34,-63.03033,-42.89346,12.5,20.91,36.92,42.19
2012-03-06 05:30:00,181,0.108,0.654,0.913,11.73,15.76,18.96,19.86,9.7,-64.72989,-44.26739,12.5,20.9,36.88,42.18
2012-03-06 06:00:00,182,0.107,0.652,0.913,11.33,15.45,18.76,19.76,9.2,-62.96926,-44.44619,12.5,20.88,36.85,42.17
2012-03-06 06:30:00,183,0.107,0.65,0.913,11.05,15.17,18.54,19.64,8.93,-60.93376,-41.64546,12.49,20.87,36.81,42.17
